Community Area Mentioned,2016-03-08,2016-03-09,2016-03-10,2016-03-11,2016-03-12,2016-03-13,2016-03-14,2016-03-15,2016-03-16,2016-03-17,2016-03-18
albany park,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0
archer heights,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ashburn,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
auburn gresham,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
austin,2.0,4.0,5.0,4.0,0.0,1.0,2.0,7.0,8.0,1.0,0.0
avalon park,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
avondale,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
belmont cragin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
beverly,0.0,3.0,3.0,1.0,0.0,6.0,3.0,2.0,2.0,1.0,0.0
bridgeport,0.0,1.0,0.0,2.0,3.0,4.0,0.0,3.0,1.0,1.0,0.0
brighton park,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
burnside,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatham,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0
chicago lawn,0.0,0.0,3.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0
douglas,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
east garfield park,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
east side,0.0,3.0,3.0,1.0,3.0,1.0,4.0,5.0,0.0,1.0,0.0
edgewater,2.0,2.0,3.0,2.0,5.0,1.0,2.0,3.0,3.0,4.0,0.0
edison park,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
englewood,1.0,0.0,1.0,2.0,3.0,0.0,2.0,10.0,4.0,13.0,1.0
forest glen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
fuller park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
gage park,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
garfield ridge,0.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0
grand boulevard,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hegewisch,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
humboldt park,3.0,5.0,1.0,3.0,6.0,2.0,8.0,9.0,8.0,2.0,0.0
hyde park,0.0,3.0,0.0,2.0,10.0,4.0,3.0,6.0,6.0,6.0,0.0
irving park,0.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0
jefferson park,0.0,1.0,1.0,4.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0
kenwood,1.0,1.0,15.0,2.0,36.0,1.0,1.0,1.0,2.0,2.0,0.0
lake view,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
lincoln park,18.0,19.0,14.0,23.0,17.0,17.0,7.0,8.0,8.0,16.0,0.0
lincoln square,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0
logan square,1.0,2.0,3.0,8.0,7.0,5.0,8.0,13.0,4.0,9.0,0.0
loop,3.0,10.0,15.0,20.0,21.0,21.0,19.0,26.0,17.0,17.0,0.0
lower west side,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mckinley park,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
morgan park,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mount greenwood,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
near north side,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
near south side,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
near west side,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
new city,1.0,2.0,2.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0
north center,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
north lawndale,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
north park,0.0,0.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0
norwood park,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
o'hare,39.0,42.0,88.0,54.0,64.0,48.0,60.0,48.0,67.0,59.0,3.0
portage park,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
pullman,0.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0
riverdale,0.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
rogers park,1.0,1.0,2.0,4.0,2.0,2.0,0.0,4.0,4.0,4.0,0.0
roseland,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,9.0,0.0
south chicago,5.0,12.0,3.0,6.0,13.0,22.0,11.0,9.0,10.0,18.0,0.0
south shore,0.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,0.0
uptown,2.0,5.0,5.0,12.0,5.0,6.0,5.0,5.0,6.0,2.0,0.0
washington park,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
west lawn,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
west pullman,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
west ridge,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
west town,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
woodlawn,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
